Date,Open,High,Low,Close,Adj Close,Volume
2018-11-08,57.779999,58.770000,57.020000,57.020000,57.020000,16743700
2018-11-09,56.500000,57.000000,54.130001,54.650002,54.650002,29209700
2018-11-12,55.099998,55.450001,54.400002,54.849998,54.849998,15985200
2018-11-13,54.900002,56.270000,54.349998,56.270000,56.270000,18790200
2018-11-14,55.209999,55.669998,54.250000,55.160000,55.160000,28360900
2018-11-16,55.849998,56.349998,55.150002,56.150002,56.150002,19633700
2018-11-19,56.150002,56.279999,54.810001,55.369999,55.369999,12979700
2018-11-21,54.150002,54.549999,53.709999,54.529999,54.529999,18590600
2018-11-22,54.689999,54.720001,53.750000,54.040001,54.040001,9255400
2018-11-23,53.389999,53.389999,50.349998,50.349998,50.349998,33531500
2018-11-26,49.950001,51.090000,49.000000,50.119999,50.119999,30327300
2018-11-27,49.689999,50.490002,49.099998,49.919998,49.919998,25582700
2018-11-28,50.500000,52.320000,50.220001,52.299999,52.299999,29038300
2018-11-29,51.919998,52.730000,51.130001,52.000000,52.000000,23362000
2018-11-30,51.560001,53.689999,51.560001,52.799999,52.799999,29502000
2018-12-03,55.599998,55.680000,53.740002,54.110001,54.110001,32418200
2018-12-04,54.349998,54.520000,52.500000,52.880001,52.880001,26844200
2018-12-05,53.299999,53.480000,52.430000,52.799999,52.799999,9656100
2018-12-06,51.700001,52.599998,51.070000,52.299999,52.299999,21376400
2018-12-07,52.480000,53.259998,51.090000,51.290001,51.290001,19472100
2018-12-10,51.119999,51.639999,50.189999,50.200001,50.200001,14331300
2018-12-11,51.150002,51.740002,50.250000,50.599998,50.599998,19443900
2018-12-12,51.150002,51.400002,50.349998,50.369999,50.369999,15808900
2018-12-13,50.849998,51.279999,50.250000,50.599998,50.599998,15149000
2018-12-14,50.380001,51.189999,49.849998,50.880001,50.880001,16910700
2018-12-17,51.900002,52.270000,51.029999,51.250000,51.250000,21401300
2018-12-18,51.349998,52.189999,51.349998,51.439999,51.439999,18988400
2018-12-19,51.799999,52.400002,50.009998,50.009998,50.009998,24414200
2018-12-20,50.740002,51.169998,49.450001,49.810001,49.810001,25323700
2018-12-21,50.279999,51.250000,50.220001,50.860001,50.860001,28272600
2018-12-26,50.110001,50.700001,49.400002,50.439999,50.439999,13356400
2018-12-27,50.099998,50.389999,49.279999,49.500000,49.500000,14332000
2018-12-28,50.310001,51.200001,50.250000,51.000000,51.000000,11914300
2019-01-02,50.009998,51.369999,49.790001,51.090000,51.090000,17319600
2019-01-03,50.799999,50.939999,48.400002,49.000000,49.000000,30120000
2019-01-04,49.820000,52.450001,49.820000,52.189999,52.189999,43360100
2019-01-07,52.869999,53.650002,51.720001,51.910000,51.910000,20998900
2019-01-08,52.200001,52.799999,51.619999,52.410000,52.410000,19925600
2019-01-09,53.160000,54.060001,52.830002,53.689999,53.689999,27695500
2019-01-10,53.230000,53.290001,52.270000,53.099998,53.099998,18113600
2019-01-11,53.259998,53.459999,52.380001,52.380001,52.380001,12360400
2019-01-14,51.980000,52.700001,51.430000,52.599998,52.599998,14626300
2019-01-15,52.849998,53.200001,51.869999,52.349998,52.349998,14480300
2019-01-16,52.400002,52.820000,52.200001,52.650002,52.650002,15375100
2019-01-17,52.439999,54.709999,52.270000,54.230000,54.230000,25525500
2019-01-18,54.950001,55.599998,54.250000,54.759998,54.759998,25815900
2019-01-21,54.849998,55.349998,54.389999,55.279999,55.279999,10676600
2019-01-22,54.480000,55.080002,54.349998,55.080002,55.080002,17154300
2019-01-23,55.459999,55.900002,55.330002,55.650002,55.650002,13470400
2019-01-24,55.799999,56.200001,55.500000,56.150002,56.150002,14118200
2019-01-28,45.000000,45.000000,42.360001,42.360001,42.360001,183534500
2019-01-29,43.270000,44.689999,42.599998,42.740002,42.740002,68335900
2019-01-30,46.250000,46.799999,44.980000,46.599998,46.599998,67892500
2019-01-31,46.990002,47.439999,45.500000,45.500000,45.500000,39814600
2019-02-01,45.720001,46.330002,45.580002,46.250000,46.250000,21286700
2019-02-04,46.000000,46.099998,44.049999,44.680000,44.680000,35888900
2019-02-05,44.450001,45.209999,43.810001,44.520000,44.520000,21992300
2019-02-06,44.000000,44.400002,42.459999,42.459999,42.459999,29257400
2019-02-07,42.150002,42.790001,41.209999,41.590000,41.590000,31403200
2019-02-08,40.639999,43.590000,40.509998,43.160000,43.160000,48169600
2019-02-11,43.860001,44.049999,41.889999,42.020000,42.020000,30697300
2019-02-12,42.500000,44.330002,42.049999,44.299999,44.299999,36421200
2019-02-13,44.310001,45.990002,44.299999,45.490002,45.490002,38153200
2019-02-14,45.389999,45.939999,45.049999,45.660000,45.660000,24055400
2019-02-15,45.400002,46.020000,45.189999,45.880001,45.880001,27877700
2019-02-18,45.790001,46.150002,44.900002,45.250000,45.250000,18777400
2019-02-19,45.500000,45.939999,45.230000,45.490002,45.490002,20523500
2019-02-20,45.900002,46.080002,44.939999,45.799999,45.799999,25493000
2019-02-21,45.840000,46.090000,45.130001,45.380001,45.380001,21401300
2019-02-22,45.700001,47.060001,45.570000,46.990002,46.990002,17580700
2019-02-25,47.349998,47.750000,46.400002,47.119999,47.119999,16801500
2019-02-26,46.790001,47.290001,46.599998,47.200001,47.200001,10362900
2019-02-27,47.250000,47.250000,46.340000,46.830002,46.830002,15004800
2019-02-28,46.580002,47.099998,46.099998,47.099998,47.099998,17877800
2019-03-01,47.290001,47.500000,44.549999,46.740002,46.740002,29872100
2019-03-06,47.430000,48.049999,47.189999,48.049999,48.049999,15244200
2019-03-07,47.830002,48.959999,47.720001,48.860001,48.860001,21112500
2019-03-08,48.259998,48.889999,47.650002,48.849998,48.849998,25446000
2019-03-11,48.900002,49.950001,48.610001,49.880001,49.880001,20201600
2019-03-12,49.799999,50.330002,49.549999,49.970001,49.970001,15591300
2019-03-13,49.939999,51.000000,49.700001,50.700001,50.700001,21999200
2019-03-14,50.799999,50.930000,50.200001,50.709999,50.709999,17257400
2019-03-15,50.799999,51.240002,50.400002,50.549999,50.549999,26054400
2019-03-18,50.250000,50.669998,49.830002,50.459999,50.459999,23021400
2019-03-19,50.700001,52.389999,50.590000,51.900002,51.900002,32034400
